CASEID,MARITAL,B1AGE,AGEDISP,RACER,SEX_N,AGE_N,RACE_N,HSPNC_N,OTHERR_N,EDU_N,JOB1_N,JOB2_N,JOB3_N,JOB4_N,PHOUR_N,VHOUR_N,STDNT_N,SAMESEX,C1SITUAT,PARTNERS,PABUSE,ABUSENP,RELANAME,RELAEXFO,LENGTHTO,LENGTHON,LENGTH4,CHNGE_N,CODE1_N,DATE1_N,CODE2_N,DATE2_N,CODE3_N,DATE3_N,LIVE_N,LIVEWITH,LIVEWR,LIVNEVER,LIVALLYR,NOHOME,APART_N,APARTR,APART3,REASON1,REASON2,REASON3,REASON4,CHILDR,RETRN_N,REASONR1,REASONR2,REASONR3,REASONR4,REASONR5,CHILDCB,L28KIDSN,KIDSNUM,FOSTER_N,KIDLIV_N,KIDIV2_N,DECEASED,STDETAI,STEPCHIL
148106,  1,21,  1,1,  1, 24,  6,3,1,  3,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  2,2,2,   2,9999, 1,9999, 1,9999,1,  1,  1,1,  0,  1,  2,  3,  1,1,  12,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,0,  1,  2,9999,   2,9999,0,  5,  2
148107,  1,32,  5,1,  1, 42,  1,1,1,888,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  3,2,3,   2,9999, 1,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  1,  1,0,  10,  23,9999,9999,0,   1,   9,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
148108,  1,35,  1,1,  1, 38,  1,1,1,  4, 13,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  3,2,3,   2,9999, 1,9999, 1,9999,1,  1,  1,1,  0,  1,  2,  4,  0,0, 999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
148109,  1,20,  1,1,  1, 24,  1,1,1,  3,  9,9999,9999,9999,9999,9999,777,0,3,4,3,0,  6,  1,  4,2,4,   1,   2,20,9999, 1,9999,1,  4,  0,0,  0,  0,  2,  1,  1,0,  10,9999,9999,9999,0,   1,  12,9999,9999,9999,9999,0,  1,  1,9999,   1,9999,0,  5,  2
148110,  1,32,  1,1,  1, 36,  1,1,1,  3,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  5,2,4,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  1,  1,0,   1,  10,9999,9999,0,   1,   9,  13,9999,9999,9999,0,  1,  2,9999,   1,9999,0,  1,  1
148111,  1,27,  1,1,  1, 30,  1,1,1,  9,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  6,  1,  5,2,4,   2,9999, 1,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  1,  1,0,   2,9999,9999,9999,1,   2,9999,9999,9999,9999,9999,0,  1,  1,9999,   1,9999,0,  5,  2
148113,  4,27,  4,1,  1, 32,  1,1,1,  4,  8,9999,9999,9999, 999,9999,777,0,1,1,1,0,  2,  1,  5,2,4,   1,   2, 5,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  2,  1,0,   1,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  1,  3,9999,   1,9999,0,  5,  2
148115,  1,31,  4,1,  1, 37,  1,1,1,  4,  3,9999,9999,9999,  25,9999,777,0,1,1,1,0,  6,  1,  2,2,2,   1,  16,14,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  1,  1,0,   1,  10,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
148118,  1,36,  1,1,  1, 37,  1,1,1,  4,  2,9999,9999,9999,9999,9999,777,0,3,2,1,0,  6,  1,  2,2,2, 888,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  1,  1,0,   1,  22,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999,9999,9999,0,  1,  1
148119,  5,39,  1,1,  1, 39,  1,1,1,  5,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  5,2,4,   1,   5, 8,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  2,  1,0,  22,9999,9999,9999,0,   1,  11,9999,9999,9999,9999,0,  1,  1,9999,   1,9999,0,  1,  1
