CASEID,INVIEWN,ABUSED,C1SITUAT,PARTNERS,PABUSE,L1SAME,L2NAME,L3CURRNT,L4RELATE,L5TIME,L5YEARS,L5MNTHS,L5DATE,L6RELATE,L6OTHER,L7TIME,L7DATE,L7YEAR,L7END,L7BEGIN,L7MNTH,L7OTHER,L8ALL,L11CURNT,L12RELAT,L13TIME,L13YEARS,L14RELAT,L15TIME,L15YEARS,L15MNTH,L16SEX,L17AGE,B1AGE,AGEDISP,L18RACE,L18HSPNC,L18OTHER,L19EDU,L20JOB1,L20JOB2,L20JOB3,L20JOB4,L20PHOUR,L20VHOUR,L20STDNT,L21CHNGE,L22CODE1,L22CODE2,L22CODE3,L22DATE1,L22DATE2,L22DATE3,L23LIVE,L24APART,L25REASN,L25RESN2,L25RESN3,L25RESN4,L26RETRN,L27REASN,L27RESN2,L27RESN3,L27RESN4,L27RESN5,L28KID,L28BYHIM,DECEASED,L28FOSTR,L29LIVE,L29LIVE2,STDETAI,STEPCHIL
118183,1,1,3,2,1,   2,1,   2,9999,9999,9999,9999,1,   1, 1,   3,99, 8, 1, 1,22,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 29,25,  1,  1, 1, 1,  3,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  2,  1,   1,9999,9999,9999,   1,   3,   5,  10,9999,9999,  1,   2,9,9999,   1,9999,  5,  2
118192,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 28,25,  1,  1, 1, 1,  3, 14,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  2,  1,  11,9999,9999,9999,   2,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
118193,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 32,30,  1,  1, 1, 1,  4,  2,9999,9999,9999,9999,9999,777,888,9999,9999,9999, 1, 1,1,  4,  1,  11,9999,9999,9999,   2,9999,9999,9999,9999,9999,  1,   2,9,9999,   1,9999,  5,  2
118341,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 35,33,  1,  1, 1, 1,  3,  5,  15,9999,9999,9999,9999,777,  1,  17,9999,9999, 7, 1,1,  2,  1,   1,9999,9999,9999,   1,   1,  12,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
118458,1,1,4,2,2,   2,1,   2,9999,9999,9999,9999,1,   4, 1,   3,99,14, 1, 1, 8,3,   2,9999,9999,9999,9999,9999,9999,99,1,  1, 43,39,  1,  1, 1, 1,  5,  9,9999,9999,9999,9999,9999,777,  1,  12,9999,9999,19, 1,1,  5,  2,   1,9999,9999,9999,   2,9999,9999,9999,9999,9999,  1,   2,9,9999,  10,9999,  2,  2
118520,1,1,3,2,1,   2,1,   2,9999,9999,9999,9999,1,   1, 1,   3,99, 8, 1, 1, 2,1,   3,9999,9999,9999,9999,9999,9999,99,1,  1, 30,36,  2,  1, 1, 1,  2,  2,9999,9999,9999,9999,9999,777,888,9999,9999,9999, 1, 1,1,  2,  2,   1,9999,9999,9999,   2,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
119097,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 21,22,  1,  1, 1, 1,  3,  7,9999,9999,9999,9999,9999,  1,  2,9999,9999,9999, 1, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
119098,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 60,50,  5,  1, 1, 1,  5,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
119104,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 60,67,  2,  1, 1, 1,  4,  9,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
119180,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 51,38,  5,  1, 1, 1,  2,  9,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  1,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   3,9,9999,   2,9999,  5,  2
