CASEID,INVIEWN,RACER,SAMESEXR,N14SUHER,N20OTHER,N11DRUGS,N12ALCHL,N13SUHIM,N15HOME,N16CHILD,N17ARRST,N18CHRGE,N18CHRG2,N18CHRG3,N18CHRG4,N1FRQNCY,N2SVRITY,N3WEAPON,N4CHOKE,N5SEX,N6CONTRL,N7PREGNT,N8JEALUS,N9KILL,N10CPBLE
168239,1,1,9999,  1,   1,  2,  2,  1,  1,  2,  1,   5,   9,   7,9999,  2,  2,   2,   1,   2,  1,  1,  1,   2,   1
168251,1,1,9999,  1,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
168252,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
168253,1,1,9999,  2,   1,  2,  1,  2,  1,  2,  1,   2,9999,9999,9999,  1,  2,   2,   1,   1,  1,  2,  2,   1,   2
168305,1,1,9999,  1,   2,  2,  1,  2,  1,  2,  1,   5,9999,9999,9999,  2,  1,   1,   1,   2,  2,  2,  1,   2,   1
168322,1,1,9999,  2,   1,  2,  1,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
168328,1,1,9999,  2,   1,  2,  2,  2,  1,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  1,  2,  2,   2,   2
168329,1,1,9999,  1,   2,  2,  2,  2,  1,  2,  1,  13,9999,9999,9999,  2,  2,   2,   1,   2,  2,  2,  1,   2,   2
168330,1,1,9999,  1,   2,  2,  2,  1,  1,  2,  1,   1,   2,9999,9999,  2,  2,   1,   1,   1,  1,  1,  1,   1,   2
168332,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   1
168333,1,3,9999,  2,   1,  1,  1,  1,888,  2,  1,   2,   5,9999,9999,  1,  2,   2,   2,   2,  1,  2,  1,   2,   2
168338,1,1,9999,  1,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   1,   2,  2,  1,  2,   2,   1
168339,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   1,   2,  2,  2,  2,   2,   2
168340,1,1,9999,  2,   2,  1,  1,  2,  2,  2,  1,   5,9999,9999,9999,  2,  2,   1,   2,   1,  1,  2,  1,   2,   2
168342,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
168349,1,1,9999,  1,   1,  1,  1,  2,  1,  2,  1,   1,  10,9999,9999,  2,  2,   1,   1,   2,  1,  2,  1,   1,   2
168354,1,1,9999,  2,   1,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   1,   2,  2,  2,  2,   2,   2
168396,1,1,9999,  2,   1,  2,  2,  2,  1,  2,  1,   5,9999,9999,9999,  1,  1,   1,   1,   2,  1,  1,  1,   1,   2
168398,1,2,9999,  2,   2,  2,  2,  2,  2,  2,  1,   1,9999,9999,9999,  2,  2,   2,   1,   2,  2,  2,  2,   2,   2
168454,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   1,   2,  1,  2,  2,   2,   1
168518,1,1,9999,  2,   2,  2,  2,  2,  2,  2,888,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  1,   2,   2
168519,1,1,9999,  1,   1,  2,  1,  1,  1,  2,  1,   2,   9,9999,9999,  2,  2,   2,   1,   1,  1,  1,  2,   1,   1
168524,1,1,9999,  2,   2,  2,  2,  2,  1,  2,888,9999,9999,9999,9999,  2,  2,   2,   2,   2,  1,  2,  1,   2,   2
168526,1,1,9999,  2,   1,  2,  2,  2,  1,  2,  1,   1,   9,9999,9999,  2,  2,   1,   1,   1,  1,  1,  1,   2,   1
168563,1,1,9999,  2,   2,  1,  2,  2,  2,  2,  1,   1,   5,   8,9999,  2,  2,   2,   1,   2,  1,  1,  1,   1,   2
168610,1,1,9999,  1,   2,  2,  1,  1,  1,  2,  1,   1,   5,9999,9999,  2,  2,   1,   1,   2,  1,  1,  1,   2,   1
168612,1,1,9999,  2,   2,  2,  1,  2,  2,  2,  1, 888,9999,9999,9999,  2,  2,   2,   2,   1,  2,  2,  2,   2,   2
168616,1,1,9999,  2,   2,  2,  1,  2,  1,  1,  1,   1,9999,9999,9999,  2,  2,   1,   1,   2,  1,  1,  1,   1,   2
168618,1,9,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   1,   2,   1,  1,  2,  2,   1,   1
168619,1,1,9999,  1,   1,  2,  1,  2,  2,  2,  1,   1,9999,9999,9999,  1,  1,   1,   1,   1,  1,  3,  1,   1,   1
168624,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  1,  2,  2,   2,   2
168627,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   1,  1,  2,  1,   2,   1
168628,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   1,  1,  2,  2,   2,   2
169069,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169203,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  1,   7,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169206,1,9,9999,  1,   1,  2,  2,  2,  2,  2,  1,   4,   3,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169207,1,1,9999,  2, 999,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169240,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  1,   7,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169243,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169244,1,1,9999,  1,   1,  2,  1,  2,  2,  2,  1,   5,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169248,1,1,9999,  2,9999,  2,  2,  2,  2,  2,  1, 888,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169249,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  1,   5,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169250,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169254,1,1,9999,  2,   2,  2,  2,  2,  2,  2,888,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169326,1,2,9999,  2,   2,  2,  2,  2,  2,  2,  1,  14,  13,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169331,1,1,9999,  2,   1,  2,  2,  1,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169343,1,1,9999,  2,   2,  2,  1,  2,  2,  2,  1,  13,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169352,1,1,9999,  2,   1,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169353,1,1,9999,  2,   2,  2,  1,  2,  2,  2,  1,   7,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169404,1,1,9999,  2,   2,  2,  1,  2,  2,  2,  1,   7,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169517,1,2,9999,  2,   1,  2,  2,  2,  1,  2,  1, 888,9999,9999,9999,  3,  3,   2,   2,   2,  2,  9,  2,   2,   2
169613,1,1,9999,  2,   1,  2,  1,  1,  2,  2,  1, 888,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169615,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
169617,1,1,9999,  2,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
218042,1,3,   1,  1,   1,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,777,  2,   2,   2
218048,1,3,9999,  2,   1,  1,  1,  1,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
218148,1,2,   1,  1,   1,  2,  1,  1,  2,  2,888,9999,9999,9999,9999,  1,  2,   2,   1,   2,  1,  2,  1,   2,   2
218160,1,2,9999,  1,   1,  1,  2,  1,  2,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   1,  2,  2,  2,   2,   2
219147,1,3,9999,  1,   1,  2,  1,  2,  2,  2,  1,   2,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
219235,1,2,9999,  1,   1,  2,  1,  2,  2,  2,  2,9999,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
228284,1,3,9999,  2,   2,  1,  1,  1,  1,  2,  1,   4,9999,9999,9999,  1,  1,   1,   2,   2,  1,  2,  2,   2,   1
229047,1,3,9999,  1,   2,  2,  1,  2,  2,  2,  1,   4,9999,9999,9999,  3,  3,   3,   3,   3,  3,  9,  3,   3,   3
308001,1,2,9999,  2, 999,  2,  2,  2,  1,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  1,  2,  2,   2,   2
308002,1,1,9999,  1,   2,  2,  2,  2,  2,  2,  2,9999,9999,9999,9999,  1,  2,   1,   1,   2,  1,  2,  1, 999,   2
308003,1,1,9999,  2,   1,  1,  2,  1,  1,  2,888,9999,9999,9999,9999,  1,  2,   1,   2,   1,  2,  1,  1,   2,   2
308004,1,1,9999,  2,   2,  1,  2,  2,  1,  2,  1, 888,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   2
308005,1,1,9999,  1,   2,  2,  1,  1,  2,  2,  1,   4,9999,9999,9999,  2,  2,   2,   2,   2,  2,777,  1,   1,   1
308006,1,1,9999,  1,   2,  1,  2,  2,  2,  2,  2,9999,9999,9999,9999,  2,  1,   1,   1,   2,  2,  1,  2,   1,   2
308007,1,3,9999,  2,   1,  2,  2,  1,  1,  2,  2,9999,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   1
308008,1,1,9999,  2,   1,  1,  2,  2,  1,  2,  1,   2,9999,9999,9999,  2,  2,   2,   2,   2,  2,  2,  2,   2,   1
