CASEID,INVIEWN,B1AGE,AGER,AGERR,B2EDU,HIGHSCHL,B3EMPLY1,B3EMPLY2,B3EMPLY3,B3EMPLY4,EMPLOYR,UNEMPLOY,HOMEMAKR,B3HOURS,B3VHOUR,B3STUDNT,B4CHANGE,B5CODE1,B5DATE1,B5CODE2,B5DATE2,B5CODE3,B5DATE3,B6RACE,RACER,B6HSPNIC,B6OTHER,B7BIRTH,B7PLACE,B7PLACER,F14CHICG,B8MARITL,MARRIED,SINGLE,SCRSTAT,SCRSTATR,FINSTAT,FINSTATR,ABUSED,CHNGSTAT,CHGTONAW,NAWYEAR,RELAC1,LENGTHC1,C1SITUAT,PARTNERS,PABUSE,SPANISH1,INMONTH,INYEAR,INDAY
118178,1,21,2,1,  4,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  1,   2,14,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,4,1,1,1,2,10,1997,24
118182,1,26,3,1,  5,  1,  8,9999,9999,9999,4,1,0,9999,99,9999,  1,   2, 9,9999, 1,9999, 1,  7,9,1, 7,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,3,1,1,1,2,10,1997,20
118183,1,25,2,1,  6,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  4,  0,  0,  1,  1, 1,1,1,1,99,99,  5,1,3,2,1,2,10,1997,20
118192,1,25,2,1,  4,  1,  3,9999,9999,9999,1,0,0,  25,99,9999,  1,   5, 2,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,2,1,1,1,2,11,1997, 7
118193,1,30,3,2,  5,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  1,   5,27,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,5,1,1,1,2,11,1997, 7
118341,1,33,4,2,  5,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  1,   2,20,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  5,  0,  0,  1,  1, 1,1,1,1,99,99,  5,3,1,1,1,2, 1,1998,13
118458,1,39,4,2,  5,  1,  7,9999,9999,9999,3,0,0,9999,99,   2,  1,   7,12,9999, 1,9999, 1,  2,3,1, 1,  1, 36,  3,  2,  2,  1,  0,  1,  1, 1,1,1,1,99,99,  1,4,4,2,2,2, 2,1998,26
118520,1,36,4,2,  7,  1,  3,9999,9999,9999,1,0,0,  30,99,9999,  1,   8,26,   5,20,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  4,  0,  0,  1,  1, 1,1,1,1,99,99,  5,1,3,2,1,2, 3,1998, 6
119097,1,22,2,1,  5,  1,  7,9999,9999,9999,3,0,0,9999,99, 999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  2,  2, 2,2,2,1,99,99,  5,4,9,9,9,2, 9,1997,15
119098,1,50,5,4,  5,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 30,  2,  2,  6,  0,  0,  3,  3, 2,2,2,3,99, 1,  9,5,9,9,9,2, 9,1997,15
119104,1,67,6,4,  2,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,997,9,1, 3,  1, 15,  2,  2,  5,  0,  0,  3,  3, 2,2,2,3,99, 1, 10,2,9,9,9,2, 9,1997,19
119180,1,38,4,2,  4,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  4,3,1, 1,  1, 17,  4,  2,  2,  1,  0,  2,  2, 2,2,2,1,99,99,  1,5,9,9,9,2,10,1997,15
119181,1,42,5,3,  5,  1,  8,9999,9999,9999,4,1,0,9999,99,9999,  1,   2, 2,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  2,  1,  0,  3,  3, 2,2,2,3,99, 1,  1,5,9,9,9,2,10,1997,20
119194,1,40,4,3,  4,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  5,  0,  0,  2,  2, 2,2,2,1,99,99,  5,2,9,9,9,2,11,1997, 7
119208,1,39,4,2,  5,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  2,  1,  0,  1,  3,  3, 2,2,2,3,99, 1,  5,5,9,9,9,2,12,1997, 1
129052,1,18,1,1,  4,  1,  3,9999,9999,9999,1,0,0,  25,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  2,  2, 2,2,2,1,99,99,  5,4,9,9,9,2, 9,1997,16
129053,1,22,2,1,  5,  1,  8,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  4,  1, 3,3,2,2, 5, 1,  5,2,9,9,9,2, 9,1997,17
129117,1,21,2,1,  5,  1,  7,9999,9999,9999,3,0,0,9999,99,   1,  1,   8, 5,9999, 1,9999, 1,  2,3,1, 1,  1, 19,  1,  1,  1,  0,  1,  2,  2, 2,2,2,1,99,99,  5,4,9,9,9,2, 9,1997,26
138068,1,38,4,2,  5,  1,  3,9999,9999,9999,1,0,0, 999,99,9999,  1,  10, 5,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  2,  4,  0,  0,  1,  1, 1,1,1,1,99,99,  2,5,1,1,1,2, 9,1997,25
