CASEID,G1NUMBER,H1JEALUS,H2LIMIT,H3KNOWNG,J1HIT,J2THROWN,J3PUSH,J4SLAP,J5KICK,J6OBJECT,J7BEAT,J8CHOKE,J9KNIFE,J10GUN,J11SEX,POWER,HARASS,B1AGE,AGEDISP,STDETAI,SAMESEXR,N11DRUGS,N12ALCHL,N13SUHIM,N16CHILD,N17ARRST,N1FRQNCY,N2SVRITY,N3WEAPON,N4CHOKE,N5SEX,N6CONTRL,N8JEALUS,N10CPBLE
148241,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,4,10,18,1,2,9999,2,2,1,2,1,1,2,2,1,2,1,1,1
148242,9999,1,2,1,1,2,1,1,1,2,1,1,2,2,2,2,3,18,1,1,9999,2,2,2,2,1,2,2,2,1,2,1,1,2
148245,9999,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,4,25,4,1,9999,2,2,2,2,2,1,1,2,2,2,1,2,2
148247,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,13,21,1,2,9999,2,2,2,2,1,1,1,1,1,1,1,1,1
148344,9999,1,1,1,1,2,1,1,1,2,2,2,2,2,2,4,5,34,6,2,9999,1,1,2,2,2,2,2,2,2,2,2,2,1
148345,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,4,33,1,2,9999,2,2,2,2,888,2,2,2,2,2,1,2,2
148350,9999,1,1,1,1,2,1,2,2,2,2,1,2,2,2,3,6,20,1,2,9999,2,1,2,2,1,2,2,2,1,2,1,2,2
148351,9999,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,5,43,2,1,9999,2,1,2,2,1,2,2,1,2,2,2,2,2
148402,9999,1,1,1,1,2,1,1,1,2,1,1,2,2,2,5,7,26,2,1,9999,2,2,2,2,2,2,2,2,1,2,1,1,2
148459,9999,1,1,1,1,2,1,2,2,2,2,1,2,2,2,5,2,21,1,1,9999,999,999,999,999,999,999,999,999,999,999,999,999,999
148521,9999,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,3,18,1,2,9999,2,2,2,2,2,2,2,2,2,2,2,2,2
148559,9999,1,2,1,2,2,1,2,2,2,2,2,2,2,2,3,3,19,1,2,9999,2,2,2,2,1,2,2,2,2,2,1,2,2
148560,9999,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,7,31,4,1,9999,2,2,2,2,1,2,2,1,1,1,1,1,1
148611,9999,2,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,29,2,1,9999,2,2,2,2,2,2,2,2,1,2,2,2,2
148614,9999,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,3,18,1,2,9999,2,2,2,2,2,1,2,2,2,1,2,2,2
149070,9999,1,1,1,2,2,2,2,2,2,2,2,2,2,2,5,6,27,4,2,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
149073,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,29,1,1,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
149074,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,28,1,5,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
149112,9999,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,23,4,1,9999,2,2,1,2,1,3,3,3,3,3,3,3,3
149114,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,31,1,1,9999,2,1,2,2,1,3,3,3,3,3,3,3,3
149116,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,23,1,2,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
149155,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,25,1,2,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
149173,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,20,1,2,9999,2,2,2,2,1,3,3,3,3,3,3,3,3
149246,9999,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,30,1,1,9999,1,1,1,2,2,3,3,3,3,3,3,3,3
149333,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,29,1,3,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
149334,9999,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,21,1,2,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
149401,9999,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,5,19,4,2,9999,2,1,2,2,1,3,3,3,3,3,3,3,3
149626,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,32,5,1,9999,2,2,2,2,1,3,3,3,3,3,3,3,3
158095,9999,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,27,5,5,9999,1,1,2,2,1,2,2,2,2,2,2,2,2
158522,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,10,20,1,2,9999,2,2,2,2,1,2,2,1,1,1,1,1,2
158523,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,5,5,21,1,2,9999,2,1,2,2,1,2,2,2,2,1,1,1,1
158561,9999,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,12,20,1,2,9999,1,1,1,2,1,1,1,1,1,2,1,1,1
158625,9999,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,18,4,2,9999,2,2,2,2,2,2,1,2,1,2,1,1,2
159050,999,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,20,5,2,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
159399,9999,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,27,1,1,9999,1,2,888,2,2,3,3,3,3,3,3,3,3
168071,9999,1,1,1,1,1,1,1,2,2,1,1,2,1,2,5,9,20,1,5,9999,2,2,1,2,1,1,2,1,1,2,1,1,1
168072,9999,2,2,2,1,1,1,1,2,2,2,1,2,2,1,1,2,21,1,1,9999,2,2,1,2,2,2,2,2,1,1,2,2,888
168091,9999,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,5,18,1,5,9999,2,2,2,2,2,2,2,2,2,2,2,2,2
168105,9999,2,2,2,2,2,1,1,2,2,2,2,2,2,2,0,1,27,1,1,9999,2,1,1,2,1,2,2,2,2,2,2,2,2
168121,9999,1,2,2,1,2,1,2,1,2,2,1,2,2,2,1,5,18,1,5,9999,2,1,2,2,1,2,2,2,1,2,2,2,1
168123,9999,1,2,1,1,2,1,2,2,2,2,2,2,2,2,4,1,24,1,1,9999,2,2,2,2,2,2,2,2,2,2,2,2,2
168202,9999,1,1,1,1,2,1,1,1,2,2,2,2,2,2,4,6,22,1,5,9999,2,2,1,2,1,2,2,2,2,888,1,2,1
168237,9999,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,20,4,2,9999,2,1,2,2,1,2,2,2,2,2,2,2,2
168238,9999,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,22,1,5,9999,2,2,2,2,1,2,2,2,2,2,2,2,1
168239,9999,1,1,1,1,2,1,1,1,1,2,1,2,2,2,4,0,19,1,1,9999,2,2,1,2,1,2,2,2,1,2,1,1,1
168251,9999,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,5,26,4,5,9999,2,2,2,2,2,2,2,2,2,2,2,2,2
168252,9999,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,18,1,5,9999,2,2,2,2,2,2,2,2,2,2,2,2,2
168253,9999,1,1,1,1,2,1,1,2,2,2,1,2,2,1,5,6,32,1,1,9999,2,1,2,2,1,1,2,2,1,1,1,2,2
168305,9999,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,9,22,1,1,9999,2,1,2,2,1,2,1,1,1,2,2,1,1
168322,9999,1,2,1,1,2,1,2,2,2,2,2,2,2,2,3,1,21,1,5,9999,2,1,2,2,2,2,2,2,2,2,2,2,2
168328,9999,1,1,1,2,2,1,1,2,2,2,2,1,2,2,3,3,19,1,5,9999,2,2,2,2,2,2,2,2,2,2,1,2,2
168329,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,6,20,1,5,9999,2,2,2,2,1,2,2,2,1,2,2,1,2
168330,9999,1,1,1,1,1,1,2,2,2,2,2,2,1,2,4,14,21,4,5,9999,2,2,1,2,1,2,2,1,1,1,1,1,2
168332,9999,2,2,2,2,2,1,2,2,1,2,2,2,2,2,0,0,22,1,5,9999,2,2,2,2,2,2,2,2,2,2,2,2,1
168333,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,9,29,1,5,9999,1,1,1,2,1,1,2,2,2,2,1,1,2
168338,9999,1,1,1,1,1,1,1,1,2,1,1,2,2,2,4,3,19,1,5,9999,2,2,2,2,2,2,2,2,1,2,2,2,1
168339,9999,1,2,2,2,1,1,1,2,1,2,1,2,2,2,1,2,18,1,5,9999,2,2,2,2,2,2,2,2,1,2,2,2,2
168340,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,4,4,33,1,5,9999,1,1,2,2,1,2,2,1,2,1,1,1,2
168342,9999,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,0,19,4,5,9999,2,2,2,2,2,2,2,2,2,2,2,2,2
168349,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,5,28,1,1,9999,1,1,2,2,1,2,2,1,1,2,1,1,2
168354,9999,2,2,2,1,2,1,2,2,2,2,1,2,2,2,0,5,35,1,5,9999,2,2,2,2,2,2,2,2,1,2,2,2,2
168396,9999,2,2,1,1,1,1,2,2,2,2,1,2,2,2,3,8,19,1,1,9999,2,2,2,2,1,1,1,1,1,2,1,1,2
168398,9999,1,2,1,1,1,1,2,1,2,1,1,2,2,2,3,1,18,4,5,9999,2,2,2,2,1,2,2,2,1,2,2,2,2
168454,9999,1,1,1,2,1,1,1,2,1,2,2,2,2,2,5,5,32,1,1,9999,2,2,2,2,2,2,2,2,1,2,1,2,1
