CASEID,QUESTION,FEMTALK,AW,SAMESEX,VICSEX_C,VICAGE1,VICAGE_C,VRACE_C,SEXRCE_C,OFFSEX_C,OFFAGE1,OFFAGE_C,WOMANAGE,MANAGE,AGEDISP,OFFRAC_C,SXRAC1_C,VREL1_C,OREL1_C,HUSCPD,C1RELATE,INJYR_C,INJMNT_C,INJDTE_C,INJDAY_C,INJTM_C,DETHYR_C,DTHMON_C,DTHDTE_C,DTHTIM_C,SUICIDE,SUICISEX,DTHOF1_C,OSUCID_C,INITIATE,SEVERITY,FORCEDSX,INJURED,LEAVING,LEAVINGW,GOAWAY,INVADE,INVADER,JEALOUSY,JEALR,INFIDLTY,ALCODRUG,ALCDRGR,PREABUSE,OVERALL,OVERALL1,CAUSEF_C,NUMVIC_C,LOCTON_C,PLACE_C,PHOME,PLACE_Q,WPCAL_C,WEAPON_C,FIREARM,WEAPON_Q,WEAPDETA,CLEAR_C,NCHARGE,UCRCODE1,UCRCODE2,UCRCODE3,UCRCODE4,UCRCODE5,DSCHG1,DSCHG2,DSCHG3,DSCHG4,DSCHG5,TMCHG1,CHRGN1,CHRGN2,CHRGN3,CHRGN4,CHRGN5,TMCHG2,TMCHG3,SUMMNEW
62,1,0,1,0,1,6,51,1,2,2,6,54,54,51,1,1,6,101,102,1,  1,96, 5,12,1,1400,96, 5,12,1400,1,3,4,4,2,  10,0,0,2,0,0,0,0,2,1,1,0,0,0, 2,20,110,1,1107,1,1,1, 2, 2,1,  2, 1,1,0,900,999, 999, 999,999,26,88,88,88,88,3333, 9, 1,1,1,1, 1,1, 7
63,1,0,3,0,1,4,31,1,2,2,3,28,28,31,1,1,6,103,104,0,  5,96, 5, 7,3,2245,96, 5,12, 900,2,2,0,0,2,  80,0,1,9,9,9,0,0,9,9,9,0,0,0, 1,10,110,1,1101,1,1,1, 7, 6,0,  6, 1,3,0,600,999, 999, 999,999,23,88,88,88,88,3333, 5, 1,1,1,1, 1,1,17
64,1,0,2,0,2,2,23,3,7,1,6,55,23,55,6,2,1,402,401,0,  5,96, 6,21,6,1630,96, 6,21,1630,2,0,0,0,1,  10,0,0,1,1,0,0,0,0,0,0,0,0,0, 4,50,120,1,1101,1,1,2,21,11,0, 13, 7,5,1,110,999, 999, 999,999, 1,88,88,88,88, 550, 7, 1,1,1,1, 1,1, 1
65,1,1,1,0,1,4,39,1,2,2,5,50,50,39,3,1,6,401,402,0,  3,96, 6,22,7,1930,96, 6,22,1930,2,2,0,0,1,  80,0,1,0,0,0,0,0,0,0,0,0,0,0, 1,10,110,1,1101,1,1,2, 8, 6,0,  6, 1,5,1,130,999, 999, 999,999, 1,88,88,88,88,  60,10, 1,1,1,1, 1,1, 1
66,1,0,2,0,1,2,22,1,2,2,3,26,26,22,1,1,6,401,402,0,  5,96, 7, 7,1,1930,96, 7, 7,1930,2,2,0,0,2,  40,0,0,0,0,0,0,0,0,0,0,0,0,0, 1,10,110,1,1101,1,1,1, 7, 6,0,  6, 1,3,0,600,999, 999, 999,999,23,88,88,88,88,3333, 5, 1,1,1,1, 1,1, 1
67,1,0,1,0,1,4,39,1,2,2,4,37,37,39,1,1,6,103,104,0,  3,96, 6,24,2, 200,96, 7,14,1820,2,2,0,0,2,  30,0,0,0,0,0,0,0,0,0,0,0,0,0,11,40,117,1,1101,1,1,1, 7, 6,0,  6, 1,5,1,110,999, 999, 999,999,22,88,88,88,88,3333, 7, 1,1,1,1, 1,1, 1
68,1,0,1,0,2,4,37,1,6,1,4,36,37,36,1,1,2,402,401,0,  3,96, 7,20,7,1835,96, 7,20,1835,2,0,0,0,2,  80,0,1,0,0,0,0,0,2,1,1,9,1,0, 1,10,110,1,1101,1,1,1,14, 2,1,  2, 1,5,1,130,999, 999, 999,999, 1,88,88,88,88, 100,10, 1,1,1,1, 1,1, 1
69,1,0,1,0,2,4,33,3,7,1,4,40,33,40,4,3,3,402,401,0,  5,96, 7,25,5,1635,96, 7,25,1635,2,0,0,0,1,9999,0,0,0,0,0,0,0,1,1,2,0,0,0, 6,20,110,2,1101,1,1,1,16, 2,1,  2, 6,4,0,603,999, 999, 999,999,37,88,88,88,88,3333, 2, 1,1,1,1, 1,1,13
70,1,1,1,0,1,6,67,1,2,2,5,48,48,67,5,1,6,401,402,0,  3,96, 8, 9,6,  20,96, 8, 9,  20,2,2,0,0,1,  40,0,1,9,9,0,0,0,0,0,9,0,0,0, 4,50,110,1,2902,9,0,8,10, 6,0,  6, 1,5,1,130,999, 999, 999,999, 1,88,88,88,88, 100,10, 1,1,1,1, 1,1, 1
71,1,0,1,0,2,3,28,2,5,1,3,30,28,30,1,2,1,102,101,1,  1,96, 8,14,4, 900,96, 8,14, 900,2,0,7,2,1,  80,0,0,1,1,0,0,0,0,0,0,4,1,0, 8,30,167,1,1101,1,1,2,26,11,0, 13, 5,5,1,110,999, 999, 999,999,35,88,88,88,88,3333, 7, 1,1,1,1, 1,1,11
72,1,0,1,0,2,1,20,1,6,1,3,26,20,26,4,1,2,402,401,0,  6,96, 8,17,7,1940,96, 8,17,1940,2,0,1,0,1,  10,0,0,0,0,0,0,0,0,0,0,0,0,0, 1,10,110,1,2100,8,0,8, 2, 2,1,  2, 1,2,0,901,999, 999, 999,999,36,88,88,88,88,3333, 8, 1,1,1,1, 1,1,14
73,1,0,1,0,2,3,30,3,7,1,4,31,30,31,1,3,3,104,103,0,  3,96, 8,25,1,1135,96, 8,25,1135,2,0,0,0,1,  10,0,0,1,1,0,0,0,1,1,2,1,1,0, 2,20,137,1,1101,1,1,1, 8, 6,0,  6, 1,5,2,110,999, 999, 999,999,37,88,88,88,88,3333, 7, 1,1,1,1, 1,1, 1
74,1,1,1,0,1,4,38,1,2,2,4,35,35,38,1,1,6,103,104,0,  3,96, 8,27,3,1215,96, 8,27,1215,2,2,0,0,2,  20,0,0,0,0,0,0,0,0,0,0,0,0,0, 4,50,120,1,1101,1,1,2, 8, 6,0,  6, 1,5,1,130,999, 999, 999,999, 1,88,88,88,88, 100,10, 1,1,1,1, 1,1, 1
75,1,0,1,0,2,4,39,1,6,1,4,33,39,33,2,1,2,102,101,1,  1,96, 9, 7,7, 850,96, 8, 7, 850,2,0,0,0,1,  10,0,0,1,1,0,0,0,0,0,0,0,0,0, 3,40,120,1,1101,1,1,1, 7, 6,0,  6, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 500, 7, 1,1,1,1, 1,1, 1
76,2,0,0,0,1,4,36,1,2,2,3,28,28,36,4,1,6,103,104,0,777,96, 9, 8,1,  17,96, 8, 8, 414,2,2,0,0,1,  10,0,1,0,0,0,0,0,0,0,0,9,1,0, 1,10,100,1,1101,1,1,1, 8, 6,0,999, 1,3,0,600,999, 999, 999,999,23,88,88,88,88,3333, 5, 1,1,1,1, 1,1,17
77,2,0,0,0,2,4,31,2,5,1,4,35,31,35,1,2,1,102,101,1,777,96,10, 8,3,1730,96,10, 8,1730,1,1,4,1,1,   0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,60,940,2,1107,1,1,1, 7, 6,0,999, 1,1,0,900,999, 999, 999,999,26,88,88,88,88,3333, 9, 1,1,1,1, 1,1, 7
